Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
China,Western Pacific,123386,8.39,255,0.02,25,5686,0.39,1,0,1
Ghana,Africa,122543,394.37,2540,8.17,0,1084,3.49,37,0.12,0
Montenegro,Europe,120149,19130.12,3611,574.94,537,1785,284.21,53,8.44,11
Cyprus,Europe,117553,13237.88,1465,164.98,174,526,59.23,18,2.03,3
Uganda,Africa,99701,217.97,0,0,0,3031,6.63,0,0,0
El Salvador,Americas,98122,1512.78,2055,31.68,2055,2995,46.17,61,0.94,9
Cambodia,Western Pacific,97524,583.31,3598,21.52,589,2007,12,79,0.47,20
Rwanda,Africa,91555,706.87,2873,22.18,474,1153,8.9,48,0.37,6
Cameroon,Africa,84210,317.22,0,0,0,1357,5.11,0,0,0
Maldives,South-East Asia,82475,15257.78,822,152.07,0,227,41.99,1,0.18,0
Luxembourg,Europe,76540,12224.73,559,89.28,85,833,133.04,3,0.48,0
Jamaica,Americas,74007,2499.25,4953,167.27,511,1685,56.9,117,3.95,19
Senegal,Africa,73353,438.09,376,2.25,43,1825,10.9,45,0.27,9
Singapore,Western Pacific,70039,1197.18,2048,35.01,457,57,0.97,2,0.03,1
Australia,Western Pacific,68045,266.84,11497,45.09,1727,1066,4.18,47,0.18,6
Malawi,Africa,60995,318.85,332,1.74,30,2229,11.65,34,0.18,0
Côte d’Ivoire,Africa,57424,217.69,903,3.42,131,492,1.87,41,0.16,4
Democratic Republic of the Congo,Africa,56096,62.63,789,0.88,11,1068,1.19,7,0.01,0
Réunion,Africa,51651,5769.05,1305,145.76,0,354,39.54,12,1.34,0
Angola,Africa,49628,151,1624,4.94,279,1313,3.99,78,0.24,4
Guadeloupe,Americas,49515,12374.91,4122,1030.18,0,606,151.45,98,24.49,0
Fiji,Western Pacific,48572,5418.29,1316,146.8,179,533,59.46,28,3.12,5
Trinidad and Tobago,Americas,46283,3307.14,1326,94.75,270,1348,96.32,46,3.29,6
Eswatini,Africa,44646,3848.25,789,68.01,146,1166,100.5,37,3.19,3
French Polynesia,Western Pacific,43711,15560.61,1602,570.29,1602,538,191.52,75,26.7,3
Madagascar,Africa,42873,154.83,0,0,0,956,3.45,0,0,0
Martinique,Americas,39006,10394.25,1021,272.07,0,528,140.7,51,13.59,0
Sudan,Eastern Mediterranean,37931,86.5,219,0.5,0,2791,6.36,0,0,0
Malta,Europe,36636,7119.81,314,61.02,30,446,86.68,5,0.97,0
French Guiana,Americas,36481,12213.99,1172,392.39,0,225,75.33,5,1.67,0
Cabo Verde,Africa,36327,6533.79,703,126.44,125,318,57.2,4,0.72,1
Mauritania,Africa,34594,744.01,725,15.59,90,743,15.98,19,0.41,0
Suriname,Americas,31894,5436.8,2295,391.22,502,746,127.17,21,3.58,3
Guinea,Africa,29953,228.08,348,2.65,35,363,2.76,22,0.17,3
Syrian Arab Republic,Eastern Mediterranean,28952,165.43,778,4.45,138,2055,11.74,32,0.18,6
Guyana,Americas,27061,3440.46,1291,164.13,289,657,83.53,33,4.2,3
Gabon,Africa,26379,1185.18,491,22.06,0,169,7.59,4,0.18,0
Togo,Africa,23264,281.01,1284,15.51,246,203,2.45,13,0.16,0
Haiti,Americas,21162,185.59,115,1.01,0,588,5.16,0,0,0
Seychelles,Africa,20593,20939.12,363,369.1,0,106,107.78,3,3.05,0
Mayotte,Africa,20015,7336.47,140,51.32,68,175,64.15,0,0,0
Benin,Africa,19841,163.66,3909,32.24,735,141,1.16,10,0.08,0
Bahamas,Americas,19139,4866.95,563,143.17,0,453,115.2,41,10.43,0
Papua New Guinea,Western Pacific,18357,205.17,129,1.44,18,194,2.17,2,0.02,0
Timor-Leste,South-East Asia,18308,1388.61,929,70.46,97,88,6.67,14,1.06,0
Somalia,Eastern Mediterranean,17947,112.92,317,1.99,0,1005,6.32,13,0.08,0
Tajikistan,Europe,17442,182.88,129,1.35,0,125,1.31,0,0,0
Belize,Americas,17251,4338.48,758,190.63,132,369,92.8,7,1.76,0
Lao People's Democratic Republic,Western Pacific,16742,230.11,1283,17.63,166,16,0.22,2,0.03,0
Curaçao,Americas,15550,9476.33,251,152.96,44,151,92.02,7,4.27,2
Andorra,Europe,15078,19514.66,26,33.65,8,130,168.25,0,0,0
Mali,Africa,14969,73.92,59,0.29,7,542,2.68,3,0.01,0
Aruba,Americas,14955,14007.27,379,354.98,42,153,143.3,7,6.56,2
Lesotho,Africa,14395,671.96,0,0,0,403,18.81,0,0,0
Burundi,Africa,14189,119.33,1119,9.41,142,12,0.1,2,0.02,0
Burkina Faso,Africa,13872,66.36,74,0.35,0,171,0.82,0,0,0
Congo,Africa,13701,248.29,113,2.05,0,183,3.32,0,0,0
Mauritius,Africa,13114,1031.16,1933,151.99,331,42,3.3,11,0.86,5
Djibouti,Eastern Mediterranean,11807,1195.04,42,4.25,0,157,15.89,0,0,0
South Sudan,Africa,11589,103.53,116,1.04,18,120,1.07,0,0,0
Central African Republic,Africa,11309,234.15,13,0.27,0,100,2.07,0,0,0
Guam,Western Pacific,11243,6661.53,830,491.78,156,155,91.84,5,2.96,1
Iceland,Europe,11199,3075.52,287,78.82,26,33,9.06,0,0,0
Equatorial Guinea,Africa,10284,733.01,807,57.52,345,129,9.19,3,0.21,0
Gambia,Africa,9820,406.34,84,3.48,31,328,13.57,5,0.21,0
Nicaragua,Americas,9732,146.91,449,6.78,0,201,3.03,1,0.02,0
Jersey,Europe,9561,8869.53,211,195.74,21,78,72.36,1,0.93,0
Saint Lucia,Americas,9327,5079.32,1005,547.31,69,128,69.71,22,11.98,10
Yemen,Eastern Mediterranean,8267,27.72,316,1.06,86,1549,5.19,63,0.21,15
Isle of Man,Europe,6923,8141.64,229,269.31,40,29,34.1,0,0,0
Eritrea,Africa,6654,187.63,12,0.34,3,40,1.13,2,0.06,0
Sierra Leone,Africa,6378,79.96,9,0.11,2,121,1.52,0,0,0
United States Virgin Islands,Americas,6182,5920.04,248,237.49,80,63,60.33,7,6.7,0
Guinea-Bissau,Africa,5958,302.74,104,5.28,15,124,6.3,4,0.2,2
Niger,Africa,5908,24.41,41,0.17,12,199,0.82,0,0,0
Liberia,Africa,5727,113.23,0,0,0,245,4.84,0,0,0
Barbados,Americas,5573,1939.28,501,174.34,87,51,17.75,0,0,0
Gibraltar,Europe,5409,16054.73,42,124.66,7,97,287.91,0,0,0
San Marino,Europe,5373,15831.81,28,82.5,7,90,265.19,0,0,0
Chad,Africa,5013,30.52,17,0.1,0,174,1.06,0,0,0
Comoros,Africa,4093,470.68,21,2.41,0,147,16.9,0,0,0
Sint Maarten,Americas,3921,9143.7,202,471.06,33,57,132.92,6,13.99,0
Brunei Darussalam,Western Pacific,3831,875.7,871,199.1,148,15,3.43,4,0.91,1
Saint Martin,Americas,3544,9167.33,188,486.3,0,31,80.19,14,36.21,0
New Zealand,Western Pacific,3510,72.79,141,2.92,19,27,0.56,1,0.02,0
Liechtenstein,Europe,3478,8976.18,52,134.2,0,58,149.69,0,0,0
Bermuda,Americas,3273,5255.89,315,505.84,0,35,56.2,1,1.61,0
Monaco,Europe,3265,8319.74,45,114.67,5,35,89.19,0,0,0
Sao Tome and Principe,Africa,2738,1249.32,104,47.45,29,39,17.8,2,0.91,1
Turks and Caicos Islands,Americas,2727,7043.24,55,142.05,11,20,51.66,0,0,0
British Virgin Islands,Americas,2642,8737.64,74,244.73,2,37,122.37,0,0,0
Bhutan,South-East Asia,2596,336.44,0,0,0,3,0.39,0,0,0
Saint Vincent and the Grenadines,Americas,2391,2155.22,36,32.45,2,12,10.82,0,0,0
Dominica,Americas,2175,3021.21,537,745.93,0,6,8.33,2,2.78,0
Antigua and Barbuda,Americas,1974,2015.75,232,236.91,0,47,47.99,3,3.06,0
Bonaire,Americas,1850,8845.33,93,444.66,22,17,81.28,0,0,0
Grenada,Americas,1748,1553.46,1084,963.36,135,14,12.44,11,9.78,1
Saint Barthélemy,Americas,1607,16256.95,15,151.75,0,2,20.23,1,10.12,0
Guernsey,Europe,1384,2146.8,85,131.85,3,18,27.92,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Saint Kitts and Nevis,Americas,1352,2541.74,204,383.52,42,5,9.4,1,1.88,0
Faroe Islands,Europe,1032,2111.94,30,61.39,5,2,4.09,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,723,1100.12,34,51.73,4,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,382,672.87,35,61.65,5,0,0,0,0,0
Anguilla,Americas,305,2033.06,49,326.62,0,0,0,0,0,0
New Caledonia,Western Pacific,253,88.62,117,40.98,101,1,0.35,1,0.35,1
Northern Mariana Islands (Commonwealth of the),Western Pacific,249,432.61,6,10.42,0,2,3.47,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Montserrat,Americas,32,640.13,3,60.01,1,1,20,0,0,0
Saint Pierre and Miquelon,Americas,31,534.94,1,17.26,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
